State_UT,District_ID,Empowerment_Dimension,Female_Literacy_Percent,Female_LFPR_Percent,Girls_Secondary_Edu_Percent,Women_Bank_Account_Percent,Women_Digital_Access_Percent,Empowerment_Score,Data_Timestamp,Women_Educated_Per_Year,Women_Economic_Contributors,Women_Economic_Growth_Contribution_Percent,Women_Lack_of_Education_Percent,RealTime_Empowerment_Index,Risk_Level,Future_Empowerment_Index
Karnataka,9706,Digital Inclusion,0.03525881470367587,0.8729682420605149,0.4146829365873175,0.5340000000000003,0.9736534934133733,0.529,2024-01-02 04:01:00,152446,112281,0.4818181818181818,0.3671311062615411,0.5256446821206578,Moderate Risk,0.5422656116330331
Rajasthan,6205,Education,0.10377594398599643,0.8214553638409603,0.9355871174234847,0.6912500000000001,0.651158912789728,0.649,2024-01-02 05:09:00,540057,24522,0.9872727272727272,0.7936880980359241,0.7120268804784029,Low Risk,0.734884023335546
Odisha,8219,Education,0.052513128282070554,0.3573393348337084,0.5573114622924584,0.36175,0.9873269968317492,0.387,2024-01-02 05:41:00,15987,177806,0.056363636363636366,0.6018129931173409,0.42491679310299485,Moderate Risk,0.43958436498417364
Tamil Nadu,9660,Education,0.8857214303575893,0.8694673668417103,0.43668733746749355,0.8932500000000001,0.6548274137068534,0.568,2024-01-02 06:52:00,172982,52634,0.9709090909090908,0.5190532147053887,0.7471308362840181,Low Risk,0.7699879791411609
Karnataka,6845,Economic,0.253313328332083,0.23280820205051256,0.37827565513102623,0.5232500000000004,0.07687176921794237,0.514,2024-01-02 07:47:00,230589,132649,0.5890909090909091,0.4218566392479437,0.3536380718672025,High Risk,0.37649521472434533
Karnataka,9061,Education,0.23655913978494625,0.625156289072268,0.5817163432686538,0.02475000000000005,0.061030515257628815,0.142,2024-01-02 09:17:00,524905,368653,0.30727272727272725,0.5994628168541213,0.34799254735862073,High Risk,0.3708496902157638
Telangana,4698,Education,0.11452863215803966,0.07526881720430112,0.48609721944388884,0.8930000000000002,0.19559779889944973,0.914,2024-01-02 09:41:00,223738,51262,0.8090909090909091,0.5056236360584188,0.4398867161221439,Moderate Risk,0.4627438589792868
Odisha,6255,Digital Inclusion,0.655663915978995,0.9032258064516128,0.6255251050210042,0.06824999999999992,0.1118892779723194,0.232,2024-01-02 11:14:00,262106,147122,0.7,0.5658888702366964,0.5186347108086611,Moderate Risk,0.5414918536658041
West Bengal,6052,Digital Inclusion,0.6186546636659165,0.4551137784446112,0.4724944988997799,0.6727500000000002,0.9783224945806236,0.56,2024-01-02 14:41:00,587089,355039,0.9181818181818181,0.46567063958368315,0.6544554133366332,Moderate Risk,0.6704093426822585
West Bengal,7354,Safety,0.18579644911227788,0.5536384096024005,0.19523904780956192,0.51125,0.44205436051359015,0.978,2024-01-02 14:45:00,146990,364393,0.8636363636363636,0.2862178949135472,0.433976075083963,Moderate Risk,0.4568332179411059
Bihar,2103,Health,0.5138784696174044,0.8869717429357338,0.8915783156631325,0.16825000000000023,0.7945639486409871,0.881,2024-01-02 16:35:00,236979,273422,0.06727272727272726,0.8484136310223267,0.5958469764503304,Moderate Risk,0.6187041193074734
Odisha,1330,Economic,0.6011502875718928,0.5406351587896973,0.9967993598719744,0.82775,0.1425712856428214,0.874,2024-01-02 16:41:00,258854,35243,0.8690909090909091,0.9118683901292597,0.6985521987280793,Moderate Risk,0.7214093415852223
Tamil Nadu,6932,Safety,0.8824706176544135,0.22030507626906726,0.7005401080216043,0.57925,0.7802234450558613,0.03,2024-01-02 16:58:00,517319,260495,0.1090909090909091,0.7183145878798053,0.5700278205673801,Moderate Risk,0.5928849634245229
Maharashtra,8013,Education,0.17729432358089525,0.266816704176044,0.7319463892778557,0.10325000000000006,0.4525596131399032,0.952,2024-01-02 23:43:00,269436,330168,0.04181818181818181,0.7169716300151083,0.35580812028685543,High Risk,0.37866526314399845
Tamil Nadu,3624,Safety,0.9702425606401599,0.9754938734683669,0.7135427085417085,0.6627500000000004,0.9964982491245623,0.675,2024-01-03 00:06:00,332247,24485,0.26,0.6637569246264898,0.7488977594858982,Low Risk,0.757149947595457
Maharashtra,5761,Digital Inclusion,0.635908977244311,0.9032258064516128,0.13822764552910582,0.45625000000000004,0.896448224112056,0.394,2024-01-03 00:18:00,579967,28918,0.17090909090909093,0.2591908678865201,0.49430865887609954,Moderate Risk,0.5171658017332423
Uttar Pradesh,9873,Health,0.40360090022505624,0.41235308827206796,0.7979595919183837,0.9465000000000003,0.6885109221277305,0.935,2024-01-03 00:20:00,90812,326222,0.9436363636363637,0.76649320127581,0.7084362953507731,Low Risk,0.731293438207916
Odisha,4382,Economic,0.48587146786696667,0.5238809702425606,0.07921584316863373,0.2795000000000003,0.4145406036351509,0.405,2024-01-03 03:25:00,307445,149461,0.7818181818181817,0.08427060600973657,0.3784425246773187,High Risk,0.40129966753446145
Telangana,4210,Education,0.7171792948237057,0.8709677419354838,0.22864572914582926,0.049250000000000016,0.3636818409204602,0.459,2024-01-03 07:23:00,306188,390696,0.6963636363636364,0.2549941245593421,0.45444033824977964,Moderate Risk,0.47729748110692255
Kerala,8315,Education,0.6281570392598148,0.951237809452363,0.5089017803560711,0.6280000000000001,0.7373686843421708,0.12,2024-01-03 08:20:00,480399,175143,0.4509090909090909,0.5044485479268089,0.6298604217494742,Moderate Risk,0.6527175646066172
Karnataka,7414,Education,0.2728182045511378,0.7019254813703426,0.2634526905381076,0.6382500000000002,0.912122728030682,0.961,2024-01-03 14:59:00,118790,279731,0.5109090909090909,0.331878462313245,0.5187652368160866,Moderate Risk,0.5416223796732293
West Bengal,6455,Education,0.11277819454863725,0.10377594398599643,0.9789957991598319,0.24675000000000025,0.7900616975154243,0.379,2024-01-03 15:17:00,490969,344642,0.7509090909090909,0.8544569414134632,0.5482468096474921,Moderate Risk,0.5711039525046351
Kerala,4130,Education,0.2565641410352586,0.19429857464366085,0.0214042808561713,0.04700000000000015,0.03768550942137738,0.886,2024-01-03 17:22:00,526742,92116,0.7672727272727272,0.14268927312405577,0.20955921519332163,High Risk,0.2324163580504644
Uttar Pradesh,1373,Safety,0.16979244811202787,0.4318579644911228,0.041008201640328035,0.3397500000000002,0.4010338502584625,0.627,2024-01-03 18:03:00,553274,319345,0.870909090909091,0.08527782440825937,0.3342327685456131,High Risk,0.357089911402756
Tamil Nadu,4733,Safety,0.4318579644911227,0.8314578644661164,0.09581916383276656,0.48449999999999993,0.5481073870268468,0.248,2024-01-03 19:42:00,587411,193585,0.17636363636363636,0.10055397011918765,0.3812371408999538,High Risk,0.40409428375709655
West Bengal,7749,Education,0.646411602900725,0.2758189547386847,0.1948389677935588,0.5677499999999998,0.1587460396865099,0.666,2024-01-03 22:52:00,256511,119258,0.9690909090909091,0.17475239214369664,0.4267726951934406,Moderate Risk,0.4496298380505833
Telangana,4396,Safety,0.2818204551137784,0.25781445361340327,0.6745349069813964,0.5102500000000001,0.6358179089544772,0.66,2024-01-04 00:10:00,444184,277493,0.7745454545454545,0.730065469195904,0.5521212354863448,Moderate Risk,0.5749783783434878
West Bengal,6063,Safety,0.6401600400100023,0.5461365341335334,0.5731146229245851,0.30225000000000013,0.6129731532432884,0.037,2024-01-04 01:19:00,571062,42235,0.9199999999999998,0.5052878965922445,0.5857031781290934,Moderate Risk,0.6085603209862364
Rajasthan,9277,Digital Inclusion,0.6784196049012254,0.6821705426356588,0.24604920984196843,0.4315000000000002,0.24895781223945312,0.724,2024-01-04 04:21:00,95521,170638,0.17090909090909093,0.3634379721336244,0.4030634618087174,Moderate Risk,0.4259206046658601
Bihar,8768,Safety,0.49487371842960726,0.6824206051512878,0.6327265453090618,0.43325000000000014,0.6404869101217275,0.481,2024-01-04 04:45:00,430054,61825,0.8327272727272728,0.673325499412456,0.6271157930216305,Moderate Risk,0.6499729358787734
Rajasthan,8239,Safety,0.5846461615403851,0.04526131532883215,0.6467293458691739,0.8515000000000001,0.8512589628147406,0.143,2024-01-04 05:55:00,101946,50575,0.4745454545454545,0.7060600973644452,0.5942859053518615,Moderate Risk,0.6171430482090046
Kerala,2869,Education,0.6684171042760689,0.4758689672418104,0.4308861772354471,0.17425000000000002,0.338169084542271,0.454,2024-01-04 06:46:00,347745,232240,0.3236363636363636,0.4228638576464665,0.4048702220826325,Moderate Risk,0.4277273649397753
Karnataka,4244,Economic,0.8639659914978743,0.08627156789197293,0.9897979595919186,0.24475000000000025,0.4072036018009004,0.82,2024-01-04 08:39:00,136425,164766,0.21636363636363634,0.8910525432264563,0.5284864714818227,Moderate Risk,0.5513436143389657
Uttar Pradesh,7132,Safety,0.6006501625406351,0.2350587646911727,0.6717343468693739,0.35150000000000015,0.2101050525262631,0.325,2024-01-04 09:42:00,86321,362462,0.1727272727272727,0.6602316602316602,0.4145724656551968,Moderate Risk,0.4374296085123397
West Bengal,9147,Digital Inclusion,0.9264816204051014,0.20080020005001253,0.7349469893978795,0.7065000000000001,0.7772219443054859,0.847,2024-01-04 09:56:00,41957,259743,0.09454545454545454,0.6649320127580998,0.5864897459231477,Moderate Risk,0.6093468887802905
Kerala,1540,Digital Inclusion,0.2815703925981494,0.7559389847461864,0.47849569913982815,0.6149999999999998,0.48140737035184256,0.306,2024-01-04 11:05:00,57098,34551,0.5909090909090909,0.4910189692798389,0.5277629295749909,Moderate Risk,0.5506200724321338
Rajasthan,6812,Education,0.5703925981495372,0.5183795948987245,0.8585717143428686,0.3254999999999999,0.38719359679839915,0.753,2024-01-04 11:08:00,254508,88269,0.04545454545454544,0.8403558838341447,0.5065497047826027,Moderate Risk,0.5294068476397458
West Bengal,1330,Digital Inclusion,0.7694423605901473,0.4388597149287321,0.009001800360072143,0.7912500000000002,0.8212439553109886,0.69,2024-01-04 11:17:00,50025,174790,0.6963636363636364,0.050696659392311605,0.5109797324208412,Moderate Risk,0.5338368752779837
Rajasthan,3777,Safety,0.934983745936484,0.7104276069017252,0.011002200440088039,0.5732500000000003,0.43705185926296475,0.194,2024-01-04 11:27:00,541075,361667,0.7218181818181818,0.15007554137988932,0.5055155908199047,Moderate Risk,0.5283727336770475
West Bengal,2212,Health,0.8042010502625656,0.6504126031507875,0.0702140428085617,0.48449999999999993,0.006503251625812889,0.714,2024-01-04 11:29:00,420775,203832,0.9454545454545454,0.11767668289407429,0.439851739456621,Moderate Risk,0.4627088823137639
Rajasthan,2076,Education,0.0727681920480121,0.7861965491372842,0.7781556311262254,0.5812500000000003,0.4025346006336501,0.257,2024-01-04 11:42:00,122321,74387,0.62,0.6718146718146718,0.5589599492514064,Moderate Risk,0.5818170921085494
Karnataka,6986,Economic,0.5353838459614904,0.28757189297324326,0.6639327865573115,0.7030000000000003,0.2744705686176421,0.606,2024-01-04 13:41:00,84991,32584,0.3109090909090909,0.5856974987409771,0.4801379548228222,Moderate Risk,0.5029950976799651
Odisha,3732,Economic,0.35133783445861466,0.14428607151787942,0.2980596119223844,0.7017500000000001,0.5414373853593463,0.69,2024-01-04 18:13:00,533664,20859,0.03636363636363635,0.29947960382743,0.3389591633498988,High Risk,0.3618163062070414
Odisha,3524,Health,0.4073518379594898,0.8439609902475618,0.47889577915583126,0.004250000000000087,0.01367350341837581,0.279,2024-01-04 19:29:00,10999,13669,0.20909090909090908,0.46214537518885346,0.3456240564372887,High Risk,0.36848119929443174
Kerala,8839,Education,0.0977744436109027,0.47961990497624396,0.98499699939988,0.6360000000000001,0.6780056695014175,0.059,2024-01-05 02:06:00,344807,33060,0.8745454545454545,0.958200436461306,0.6727347012136008,Moderate Risk,0.6955918440707438
West Bengal,5921,Digital Inclusion,0.20055013753438367,0.8589647411852963,0.2304460892178437,0.8822500000000004,0.9979989994997499,0.912,2024-01-05 04:52:00,529025,175915,0.027272727272727282,0.28437132784958885,0.4974077175085129,Moderate Risk,0.5105507175799772
Karnataka,3871,Health,0.7174293573393347,0.44736184046011496,0.9631926385277056,0.649,0.3335000833750209,0.044,2024-01-05 05:15:00,512334,128644,0.3909090909090909,0.8428739298304516,0.6206095629202456,Moderate Risk,0.6434667057773885
Kerala,5087,Economic,0.011752938234558474,0.6666666666666665,0.08121624324864984,0.3952500000000001,0.7815574453893613,0.805,2024-01-05 06:00:00,324044,359316,0.9072727272727273,0.23216384085949315,0.43941140881020807,Moderate Risk,0.4622685516673509
West Bengal,9216,Safety,0.732433108277069,0.3950987746936734,0.03420684136827368,0.2117500000000001,0.10605302651325665,0.506,2024-01-05 06:54:00,438245,336709,0.5345454545454545,0.04028873594090998,0.293482277334091,High Risk,0.3163394201912338
West Bengal,6671,Education,0.4543635908977246,0.9602400600150036,0.444488897779556,0.9280000000000004,0.9883274970818744,0.971,2024-01-05 12:56:00,598527,353768,0.19090909090909094,0.5180459963068659,0.6406250189985879,Moderate Risk,0.6551153679847483
Uttar Pradesh,4936,Safety,0.35583895973993473,0.9442360590147536,0.09801960392078413,0.8614999999999999,0.37668834417208596,0.98,2024-01-05 13:27:00,318532,51299,0.42181818181818176,0.19422528118180293,0.4646180614067919,Moderate Risk,0.4874752042639347
Tamil Nadu,2876,Health,0.3830957739434857,0.36834208552138037,0.6255251050210042,0.9472500000000004,0.8734367183591797,0.329,2024-01-05 14:48:00,182991,299439,0.050909090909090904,0.6590565721000504,0.5582307636934559,Moderate Risk,0.5810879065505988
Bihar,3457,Safety,0.710927731932983,0.5018754688672168,0.7267453490698139,0.8670000000000004,0.9549774887443722,0.347,2024-01-05 17:23:00,447864,332407,0.7854545454545455,0.6316938056068491,0.7398106270965401,Low Risk,0.7590995572759155
Bihar,3461,Health,0.21205301325331338,0.6694173543385846,0.5593118623724744,0.62025,0.12806403201600802,0.308,2024-01-06 01:23:00,328055,71492,0.009090909090909094,0.603323820715125,0.4002158559694879,Moderate Risk,0.42307299882663074
West Bengal,6535,Education,0.9492373093273319,0.8674668667166789,0.249249849969994,0.4617500000000001,0.9686509921627479,0.122,2024-01-06 02:37:00,177312,14834,0.5854545454545454,0.27110961893570606,0.621845597509572,Moderate Risk,0.6391811700577508
Uttar Pradesh,3435,Safety,0.8564641160290072,0.9174793698424604,0.9713942788557712,0.4437500000000001,0.4277138569284642,0.188,2024-01-06 07:16:00,554085,288988,0.54,0.8301158301158301,0.7124167788245048,Low Risk,0.7352739216816478
Uttar Pradesh,5760,Education,0.14853713428357085,0.8872218054513628,0.1572314462892579,0.14600000000000013,0.6583291645822912,0.92,2024-01-06 08:26:00,475389,373856,0.06545454545454546,0.17340943427899969,0.3194547900485754,High Risk,0.3423119329057183
Karnataka,9522,Safety,0.2505626406601651,0.4181045261315328,0.7799559911982397,0.1692499999999999,0.6528264132066032,0.668,2024-01-06 10:49:00,183914,254928,0.9272727272727271,0.788148396844049,0.5694458136161881,Moderate Risk,0.5923029564733312
Tamil Nadu,6891,Economic,0.2145536384096025,0.9252313078269567,0.08081616323264651,0.42100000000000026,0.7311989327997331,0.398,2024-01-06 12:02:00,296711,78815,0.7581818181818182,0.17324156454591244,0.47203191785666715,Moderate Risk,0.49488906071381
Karnataka,3262,Digital Inclusion,0.032008002000500024,0.999499874968742,0.8001600320064013,0.71875,0.7885609471402367,0.033,2024-01-06 14:31:00,200066,30869,0.4309090909090909,0.7238542890716805,0.6419631765852359,Moderate Risk,0.6591774801611302
Odisha,7784,Safety,0.9514878719679918,0.13503375843960985,0.9057811562312463,0.21075000000000021,0.2051025512756378,0.542,2024-01-06 14:35:00,97819,64596,0.6163636363636363,0.9269766661071008,0.5644993771978889,Moderate Risk,0.5871439669167474
Bihar,1230,Safety,0.2450612653163291,0.16754188547136784,0.5521104220844169,0.9647500000000004,0.08470902117725532,0.557,2024-01-06 16:48:00,132428,44917,0.1490909090909091,0.4990767164680209,0.3803343170868999,High Risk,0.40319145994404276
Telangana,3964,Digital Inclusion,0.2350587646911726,0.7896974243560888,0.9003800760152032,0.5665,0.1420710355177588,0.183,2024-01-06 21:57:00,95543,351169,0.930909090909091,0.8260869565217391,0.6272433354301504,Moderate Risk,0.6501004782872936
Kerala,6174,Digital Inclusion,0.44286071517879466,0.2835708927231808,0.7911582316463293,0.09275000000000011,0.192429548107387,0.078,2024-01-06 21:57:00,500190,132873,0.6327272727272727,0.76649320127581,0.4574271230941106,Moderate Risk,0.4802842659512537
Odisha,3927,Safety,0.6696674168542138,0.10752688172043012,0.7519503900780158,0.3855000000000002,0.5806236451559114,0.332,2024-01-06 23:59:00,328718,247129,0.7781818181818182,0.6993453080409603,0.5675422085759071,Moderate Risk,0.59039935143305
Maharashtra,6464,Education,0.7806951737934482,0.633658414603651,0.5949189837967592,0.25049999999999994,0.6183091545772884,0.437,2024-01-07 01:27:00,586163,362380,0.2927272727272727,0.6427732079905993,0.544797458212717,Moderate Risk,0.5676546010698599
Kerala,4780,Education,0.4863715928982244,0.7731932983245811,0.47429485897179435,0.9607500000000004,0.2746373186593297,0.37,2024-01-07 02:00:00,402716,200588,0.7818181818181817,0.5391975826758436,0.6128946904782794,Moderate Risk,0.6357518333354222
Bihar,5066,Economic,0.6559139784946235,0.8297074268567142,0.1124224844968994,0.7164999999999999,0.6446556611639153,0.323,2024-01-07 03:24:00,157848,144686,0.8072727272727274,0.225281181802921,0.5702504942982572,Moderate Risk,0.5931076371553999
Telangana,5834,Health,0.676419104776194,0.2038009502375593,0.07101420284056814,0.8432500000000003,0.8039019509754878,0.462,2024-01-07 05:14:00,441214,380065,0.5236363636363636,0.17089138828269268,0.47041628010698083,Moderate Risk,0.4932734229641234
Kerala,9052,Education,0.7289322330582646,0.646661665416354,0.7917583516703341,0.8065000000000002,0.5414373853593463,0.061,2024-01-07 06:06:00,82249,36260,0.5290909090909091,0.8155111633372503,0.6942702439903512,Moderate Risk,0.7171273868474941
Maharashtra,5087,Education,0.8732183045761439,0.4263565891472867,0.9101820364072815,0.3440000000000003,0.5981323995330999,0.956,2024-01-07 06:55:00,144721,387956,0.23090909090909092,0.915057915057915,0.6139794765186883,Moderate Risk,0.6368366193758312
Maharashtra,1040,Education,0.06101525381345341,0.7774443610902726,0.4888977795559113,0.673,0.4775721193930298,0.274,2024-01-07 07:31:00,349964,387134,0.9545454545454545,0.5455766325331542,0.5682930858473252,Moderate Risk,0.5911502287044682
Rajasthan,4742,Health,0.16379094773693414,0.9849962490622655,0.5197039407881578,0.8167500000000003,0.3601800900450224,0.271,2024-01-07 09:14:00,272677,393448,0.14545454545454548,0.5425549773375861,0.504775821489216,Moderate Risk,0.5240620716231782
Tamil Nadu,8461,Economic,0.2788197049262313,0.732683170792698,0.7585517103420685,0.015249999999999986,0.976821744205436,0.777,2024-01-07 15:59:00,410303,331469,0.7890909090909091,0.751720664764143,0.6147054148744979,Moderate Risk,0.6308737371308644
Uttar Pradesh,9458,Digital Inclusion,0.5843960990247561,0.6586646661665416,0.20024004800960182,0.047250000000000014,0.7116891779222946,0.548,2024-01-07 16:14:00,393943,141443,0.1490909090909091,0.2538190364277322,0.3721642766631193,High Risk,0.39502141952026215
Bihar,4660,Safety,0.13328332083020755,0.4216054013503375,0.19203840768153635,0.34650000000000003,0.5612806403201601,0.575,2024-01-07 16:21:00,136827,258666,0.7545454545454546,0.2912539869061609,0.3857867445191225,High Risk,0.4086438873762653
Odisha,4258,Health,0.3435858964741185,0.8894723680920229,0.802760552110422,0.30100000000000016,0.6088044022011004,0.51,2024-01-07 16:23:00,181935,355140,0.6163636363636363,0.7505455766325332,0.616076061696262,Moderate Risk,0.638933204553405
Maharashtra,2873,Economic,0.3223305826456615,0.3733433358339584,0.8857771554310863,0.6895000000000002,0.5394363848590961,0.311,2024-01-07 16:40:00,440224,282650,0.870909090909091,0.7547423199597113,0.6337198385198006,Moderate Risk,0.6565769813769436
Maharashtra,5181,Education,0.3725931482870717,0.44736184046011496,0.802760552110422,0.9612500000000002,0.14423878605969653,0.337,2024-01-07 19:28:00,74470,180077,0.20727272727272725,0.7173073694812826,0.5218263462387592,Moderate Risk,0.5446834890959023
Tamil Nadu,1601,Health,0.6379094773693423,0.6161540385096274,0.20524104820964184,0.8952500000000003,0.8896114724028682,0.928,2024-01-07 19:31:00,421147,32529,0.84,0.3256672821890214,0.6299761883829288,Moderate Risk,0.6528333312400716
Telangana,5315,Education,0.7001750437609404,0.7291822955738934,0.25065013002600534,0.3205,0.0765382691345673,0.569,2024-01-07 20:20:00,487280,205548,0.13454545454545455,0.329192546583851,0.36296910566067314,High Risk,0.385826248517816
Odisha,1344,Health,0.9834958739684923,0.7149287321830458,0.9563912782556512,0.13949999999999996,0.4675671168917792,0.684,2024-01-07 22:38:00,596109,93974,0.6072727272727272,0.8343125734430082,0.6719240431449577,Moderate Risk,0.689996061149459
West Bengal,5567,Safety,0.17804451112778197,0.25906476619154784,0.690738147629526,0.6617500000000001,0.05502751375687842,0.014,2024-01-08 00:52:00,163259,96676,0.4672727272727273,0.6347154608024174,0.42094473239726843,Moderate Risk,0.44380187525441134
Odisha,8789,Digital Inclusion,0.3868467116779195,0.8377094273568391,0.7353470694138828,0.7272500000000002,0.7043521760880441,0.239,2024-01-08 01:09:00,80072,167049,0.34363636363636363,0.678697330871244,0.6305484398634705,Moderate Risk,0.6534055827206134
Maharashtra,8549,Education,0.5068767191797949,0.22380595148787197,0.5039007801560311,0.29600000000000026,0.847757211939303,0.974,2024-01-08 02:10:00,493827,143320,0.25636363636363635,0.524928655363438,0.4513761363557251,Moderate Risk,0.47423327921286795
Tamil Nadu,8189,Digital Inclusion,0.43760940235058765,0.9557389347336833,0.2796559311862372,0.6670000000000003,0.9528097382024344,0.164,2024-01-08 04:06:00,468426,296456,0.007272727272727278,0.369649152257848,0.5242479837147883,Moderate Risk,0.5438465925430119
Telangana,1755,Education,0.9959989997499377,0.5523880970242561,0.17383476695339062,0.2742500000000001,0.5836251459062863,0.753,2024-01-08 04:34:00,525698,247642,0.1781818181818182,0.1828101393318785,0.4201555667353668,Moderate Risk,0.436441423913947
Odisha,8074,Safety,0.02925731432858214,0.25431357839459867,0.6627325465093019,0.03500000000000014,0.8235784558946139,0.124,2024-01-08 05:01:00,262167,68519,0.38,0.5726036595601813,0.39392650781246835,High Risk,0.4167836506696112
Bihar,4082,Safety,0.8497124281070265,0.40685171292823197,0.39147829565913184,0.07774999999999999,0.7772219443054859,0.393,2024-01-08 05:10:00,429210,13975,0.4254545454545454,0.42873929830451585,0.47960117496556254,Moderate Risk,0.5024583178227052
Telangana,2389,Safety,0.457864466116529,0.8177044261065267,0.5021004200840167,0.7272500000000002,0.23711855927963987,0.004,2024-01-08 07:13:00,305609,18880,0.0490909090909091,0.48413631022326686,0.4678950129858413,Moderate Risk,0.49075215584298404
Bihar,1179,Health,0.9384846211552889,0.6699174793698424,1.0,0.33325000000000005,0.10638652659663161,0.544,2024-01-08 14:25:00,357112,37281,0.2109090909090909,0.9499748195400369,0.601274648224413,Moderate Risk,0.6241317910815559
Uttar Pradesh,4429,Safety,0.8432108027006753,0.08927231807951985,0.18023604720944186,0.13075000000000014,0.49408037352009326,0.923,2024-01-08 14:58:00,360794,186594,0.43272727272727274,0.2835319791841532,0.3505441133458795,High Risk,0.3734012562030221
Karnataka,2100,Digital Inclusion,0.6799199799949989,0.6161540385096274,0.19783956791358281,0.33625000000000016,0.2973153243288311,0.049,2024-01-08 15:26:00,219262,31737,0.1636363636363636,0.25717643108947463,0.3640416722104112,High Risk,0.386898815067554
Tamil Nadu,3106,Digital Inclusion,0.7654413603400849,0.7801950487621905,0.3066613322664533,0.9495000000000005,0.020010005002501274,0.679,2024-01-08 16:56:00,30784,14044,0.22,0.31206983380896436,0.4791253685971707,Moderate Risk,0.5019825114543135
Tamil Nadu,7943,Health,0.2810702675668917,0.961990497624406,0.6305261052210442,0.9942500000000001,0.7328664332166083,0.479,2024-01-08 18:18:00,412927,189376,0.030909090909090914,0.639751552795031,0.6101948496190103,Moderate Risk,0.6327676356726667
Uttar Pradesh,6309,Health,0.5231307826956739,0.3563390847711928,0.052010402080416185,0.56575,0.4110388527597132,0.992,2024-01-08 20:57:00,521976,232261,0.3672727272727273,0.1561188517710258,0.3473801001929641,High Risk,0.37023724305010686
Rajasthan,4783,Health,0.210052513128282,0.8134533633408352,0.12342468493698744,0.039750000000000174,0.3531765882941471,0.557,2024-01-08 22:07:00,489380,91042,0.4418181818181818,0.2519724693637738,0.3190925429831725,High Risk,0.3419496858403154
Odisha,5798,Digital Inclusion,0.8857214303575893,0.03150787696924234,0.20364072814562917,0.35450000000000026,0.9267967316991829,0.058,2024-01-08 23:36:00,105925,65109,0.54,0.21235521235521249,0.4506459970752652,Moderate Risk,0.4735031399324079
Tamil Nadu,6412,Digital Inclusion,0.4538634658664664,0.10352588147036756,0.25925185037007403,0.15300000000000025,0.05652826413206591,0.942,2024-01-09 00:24:00,176219,225772,0.8854545454545455,0.3097196575457446,0.31733480926275204,High Risk,0.3401919521198949
